piece	type	name	cat	weight	img	x	y	z
1682stk01	B	Sticker for Set 1682 - (163345)	160	0.5	http://www.bricklink.com/PL/1682stk01	\N	\N	\N
1923stk01	B	Sticker for Set 1923	160	\N	http://www.bricklink.com/PL/1923stk01	\N	\N	\N
193au	B	Minifig, Headgear Helmet Old with Thin Chinstrap - Visor Dimple Presence Undetermined	16	0.36	http://www.bricklink.com/PL/193au	\N	\N	\N
193b2	B	Minifig, Headgear Helmet Old with Thick Chinstrap - with Visor Dimples	16	0.36	http://www.bricklink.com/PL/193b2	\N	\N	\N
193bu	B	Minifig, Headgear Helmet Old with Thick Chinstrap - Visor Dimple Presence Undetermined	16	0.36	http://www.bricklink.com/PL/193bu	\N	\N	\N
194	B	Minifig, Utensil Hose Nozzle Simple	18	0.12	http://www.bricklink.com/PL/194	\N	\N	\N
194c01	B	Minifig, Utensil Hose Nozzle Simple with  8L Black String	18	0.25	http://www.bricklink.com/PL/194c01	\N	\N	\N
194cx1	B	Minifig, Utensil Hose Nozzle Simple with 13L String	18	0.27	http://www.bricklink.com/PL/194cx1	\N	\N	\N
194cx2	B	Minifig, Utensil Hose Nozzle Simple with 35L Black String	18	0.3	http://www.bricklink.com/PL/194cx2	\N	\N	\N
1952stk01	B	Sticker for Set 1952 - (163115)	160	\N	http://www.bricklink.com/PL/1952stk01	\N	\N	\N
1966stk01	B	Sticker for Set 1966 - Sheet 1 (191245)	160	\N	http://www.bricklink.com/PL/1966stk01	\N	\N	\N
1966stk02	B	Sticker for Set 1966 - Sheet 2, 5 White Window Stripes (195986)	160	0.2	http://www.bricklink.com/PL/1966stk02	\N	\N	\N
196926	B	Paper, Cardboard Train Track Layout Template 1:13 Scale for 4.5V & 12V, 159mm x 134mm, with Lego logo	246	\N	http://www.bricklink.com/PL/196926	\N	\N	\N
1973stk01	B	Sticker for Set 1973 - (164325)	160	\N	http://www.bricklink.com/PL/1973stk01	\N	\N	\N
2	B	Homemaker Cupboard 4 x 4 x 4	85	10.14	http://www.bricklink.com/PL/2	4	4	4
200	B	Technic Rack Winder Axle	36	\N	http://www.bricklink.com/PL/200	\N	\N	\N
202	B	Technic Rack Winder	36	\N	http://www.bricklink.com/PL/202	2	4	\N
2023c01	B	Duplo Truck Base with Four Wheels and 2 x 8 Studs	488	\N	http://www.bricklink.com/PL/2023c01	\N	\N	\N
2025c01	B	Duplo Trailer Flatbed 4 x 13 with Black Wheels	488	\N	http://www.bricklink.com/PL/2025c01	4	13	\N
2026	B	Duplo Trailer Ramp 4 x 4	488	\N	http://www.bricklink.com/PL/2026	\N	\N	\N
2028	B	Duplo Truck Cab with Headlights	488	18	http://www.bricklink.com/PL/2028	\N	\N	\N
2029pb01	B	Duplo Vehicle Container 6 x 3 with Yellow Sliding Door and Two Round Yellow Arrows Pattern	488	112	http://www.bricklink.com/PL/2029pb01	\N	\N	\N
2032	B	Duplo, Train Wagon (fits 2 x 6 car / train bases)	441	29	http://www.bricklink.com/PL/2032	3	6	2
2033	B	Duplo Ladder (Fire)	167	28	http://www.bricklink.com/PL/2033	\N	\N	\N
2033c01	B	Duplo Ladder (Fire) on Turntable Base (Complete Assembly)	167	41.95	http://www.bricklink.com/PL/2033c01	\N	\N	\N
2039	B	Lamp Post, 2 x 2 x 7 with 6 Base Grooves	143	2	http://www.bricklink.com/PL/2039	2	2	7
2040	B	Fabuland Fence 1 x 6 x 2 Rounded	153	2	http://www.bricklink.com/PL/2040	1	6	2
2041	B	Fabuland Bench Seat	153	3.8	http://www.bricklink.com/PL/2041	5	6	3
2042c01	B	Fabuland Cupboard 2 x 6 x 7 with Blue Doors	153	16	http://www.bricklink.com/PL/2042c01	2	6	7
2042c02	B	Fabuland Cupboard 2 x 6 x 7 with Red Doors	153	16	http://www.bricklink.com/PL/2042c02	2	6	7
2042c03	B	Fabuland Cupboard 2 x 6 x 7 with Yellow Doors	153	16	http://www.bricklink.com/PL/2042c03	2	6	7
2042pb01	B	Fabuland Cupboard 2 x 6 x 7 with Red Doors and Bottles, Cheese, and Ham Poster Pattern (Sticker) - Set 3675	153	14	http://www.bricklink.com/PL/2042pb01	2	6	7
2045c01	B	Fabuland Swing Base with Red Seat (Complete Assembly)	153	10.5	http://www.bricklink.com/PL/2045c01	6	6	7
2046	B	Stairs 6 x 6 x 9 1/3 Curved Enclosed	103	15	http://www.bricklink.com/PL/2046	6	6	9.33
2047c01	B	Fabuland Bus Piece with Yellow Shutters	153	13	http://www.bricklink.com/PL/2047c01	2	12	6.33
2048	B	Fabuland Roof Block	153	32	http://www.bricklink.com/PL/2048	6	12	7
2071pb01	B	Duplo, Brick 2 x 4 x 2 Rounded Ends and Rattling Eyes with Animal Face with Whiskers Pattern	440	\N	http://www.bricklink.com/PL/2071pb01	2	4	2
2071pb02	B	Duplo, Brick 2 x 4 x 2 Rounded Ends and Rattling Eyes with Freckle Face Pattern	440	\N	http://www.bricklink.com/PL/2071pb02	2	4	2
21	B	Windscreen 2 x 4 x 1 2/3	115	2.14	http://www.bricklink.com/PL/21	2	4	1.67
210	B	Baseplate 16 x 22	2	35	http://www.bricklink.com/PL/210	16	22	\N
2103	B	Base for Learn and Build Center (Set 2072)	167	524	http://www.bricklink.com/PL/2103	\N	\N	\N
2121	B	Duplo Boat Mast	639	19	http://www.bricklink.com/PL/2121	\N	\N	\N
2130	B	Duplo Trailer Open	488	31	http://www.bricklink.com/PL/2130	4	2	2
2131c01	B	Fabuland Refrigerator (Complete Assembly)	153	14	http://www.bricklink.com/PL/2131c01	3	4	5.67
2135	B	Fabuland Caravan Roof	153	15.5	http://www.bricklink.com/PL/2135	14	8	1
2137c01	B	Fabuland Caravan Body (Assembly)	153	62	http://www.bricklink.com/PL/2137c01	\N	\N	\N
2138	B	Fabuland Utensil Hair Dryer Stand	153	2	http://www.bricklink.com/PL/2138	3	3	6.33
2140	B	Fabuland Utensil Hair Dryer	153	2.5	http://www.bricklink.com/PL/2140	3	4	2
2145	B	Brick, Arch 2 x 6 x 5 Ornamented	6	5.27	http://www.bricklink.com/PL/2145	2	6	5
2146c00	B	Fabuland Skateboard	153	4.5	http://www.bricklink.com/PL/2146c00	8	5	1
2147c01	B	Duplo Pram (Baby Carriage, Stroller)	488	17.74	http://www.bricklink.com/PL/2147c01	\N	\N	\N
2150c01	B	Duplo Airplane Jetliner Fuselage complete assembly	640	165	http://www.bricklink.com/PL/2150c01	\N	\N	\N
2155	B	Duplo Airplane Jetliner Wings	640	44	http://www.bricklink.com/PL/2155	\N	\N	\N
2156	B	Duplo, Plate 8 x 3 without corners	487	19	http://www.bricklink.com/PL/2156	8	3	0.5
2157	B	Duplo Airplane Jetliner Tail	640	14	http://www.bricklink.com/PL/2157	\N	\N	\N
2164	B	Duplo Utensil Umbrella without Stop Ring	585	6	http://www.bricklink.com/PL/2164	\N	\N	\N
2166c01	B	Duplo Cannon (Circus)	167	32	http://www.bricklink.com/PL/2166c01	4	3	4
2173	B	Duplo Horse with Saddle	420	79	http://www.bricklink.com/PL/2173	\N	\N	\N
2177c01	B	Duplo Elephant Adult with Moveable Head, One Stud on Back	420	76	http://www.bricklink.com/PL/2177c01	\N	\N	\N
2198c01pb01	B	Duplo Playground Circus Wheel with Blue Swirl Pattern	167	103	http://www.bricklink.com/PL/2198c01pb01	\N	\N	\N
2199	B	Duplo Boat Cabin 3 x 4 Base with Sloping Front	639	27	http://www.bricklink.com/PL/2199	\N	\N	\N
2200	B	Duplo Boat Cabin 3 x 4 Roof	639	14	http://www.bricklink.com/PL/2200	\N	\N	\N
2201	B	Duplo Building 6 x 8 x 6 Drive Through with Two Window Openings	167	141	http://www.bricklink.com/PL/2201	6	8	6
2204pb01	B	Duplo Building 6 x 8 x 6 with Front Door and Window and Rear Double Door Openings with Wrench and Nuts Pattern	167	\N	http://www.bricklink.com/PL/2204pb01	6	8	6
2204pb02	B	Duplo Building 6 x 8 x 6 with Front Door and Window and Rear Double Door Openings with '56' Awning Pattern	167	153	http://www.bricklink.com/PL/2204pb02	6	8	6
2205	B	Duplo Door 1 x 4 x 4 with Four Panes	167	10	http://www.bricklink.com/PL/2205	1	4	4
2206	B	Duplo Door / Window with Four Panes Square Corners	167	3.49	http://www.bricklink.com/PL/2206	3	3.5	\N
2207	B	Duplo Building 6 x 8 x 6 with Front Windows	167	\N	http://www.bricklink.com/PL/2207	6	8	6
2207pb01	B	Duplo Building 6 x 8 x 6 with Front Windows and Fire Station Logo	167	141	http://www.bricklink.com/PL/2207pb01	6	8	6
2208	B	Duplo Door 1 x 3 1/2 x 5 1/3 with Six Panes	167	7.62	http://www.bricklink.com/PL/2208	\N	\N	\N
2209	B	Duplo Door 1 x 3 x 5 with Four Panes	167	6.65	http://www.bricklink.com/PL/2209	1	3	5
2210	B	Duplo Building 6 x 8 x 6 Drive Through with Door and Window Openings	167	141	http://www.bricklink.com/PL/2210	6	8	6
2211	B	Duplo Roofpiece Slope 33 2 x 4 Shingled	167	19.5	http://www.bricklink.com/PL/2211	\N	\N	\N
2212	B	Duplo Building Staircase	167	26	http://www.bricklink.com/PL/2212	\N	\N	\N
2213	B	Duplo Playground Slide Straight	167	48	http://www.bricklink.com/PL/2213	\N	\N	\N
2214	B	Duplo Fence Railing	167	5	http://www.bricklink.com/PL/2214	1	6	1.5
2218c01	B	Duplo Car with 2 x 2 Studs and Yellow Base	488	49	http://www.bricklink.com/PL/2218c01	\N	\N	\N
2221	B	Duplo Container Box 3 1/2 x 3 1/2	167	23	http://www.bricklink.com/PL/2221	\N	\N	\N
2222	B	Duplo Crane Base 2 x 2 with Hook Holder	488	12.53	http://www.bricklink.com/PL/2222	3.5	2	2.5
2223	B	Duplo Ladder Stand	167	9	http://www.bricklink.com/PL/2223	\N	\N	\N
2224	B	Duplo Ladder 8 Rung	167	8	http://www.bricklink.com/PL/2224	\N	\N	\N
2230pb02	B	Duplo Door / Window Mailbox Raised with Envelopes Pattern	167	8	http://www.bricklink.com/PL/2230pb02	\N	\N	\N
2230pb02c01	B	Duplo Door / Window Mailbox Raised with Envelopes Pattern with Flap - Complete Assembly	167	10	http://www.bricklink.com/PL/2230pb02c01	1	3	2.5
2235	B	Duplo Car with 1 x 2 Studs	488	48	http://www.bricklink.com/PL/2235	\N	\N	\N
2244cx1	B	Duplo Truck with Covered Bed and Zoo Pattern	488	62	http://www.bricklink.com/PL/2244cx1	\N	\N	\N
2247c01pb01	B	Duplo Vehicle Container with Recycling Arrows Pattern and Opening Rear Door	488	25.6	http://www.bricklink.com/PL/2247c01pb01	\N	\N	\N
2250c01	B	Duplo Camper Complete Assembly	488	286	http://www.bricklink.com/PL/2250c01	\N	\N	\N
2251	B	Duplo Camper Sliding Roof Piece	488	31	http://www.bricklink.com/PL/2251	\N	\N	\N
2252	B	Duplo Furniture Playpen 4 x 4 with 4 Studs Inside	641	20	http://www.bricklink.com/PL/2252	\N	\N	\N
2257c01	B	Duplo Hippo Adult	420	57	http://www.bricklink.com/PL/2257c01	8	2	4
2259c01pb01	B	Duplo Giraffe Adult, Loose Spot Pattern	420	43	http://www.bricklink.com/PL/2259c01pb01	6	2	7
2263pb02	B	Duplo Seal with Eyes Pattern	420	18	http://www.bricklink.com/PL/2263pb02	\N	\N	\N
2276px1	B	Duplo Hippo Baby With Eyes Pattern	420	24	http://www.bricklink.com/PL/2276px1	\N	\N	\N
2278pb01	B	Duplo Giraffe Baby, Loose Spot Pattern	420	15	http://www.bricklink.com/PL/2278pb01	\N	\N	\N
2281px1	B	Duplo Monkey, Earth Orange Face and Ears, Eyes Looking Left	420	14	http://www.bricklink.com/PL/2281px1	\N	\N	\N
2284	B	Duplo Alligator	420	30	http://www.bricklink.com/PL/2284	\N	\N	\N
2288	B	Duplo Plant Tree Trunk Segment with Branches, Conical	167	12	http://www.bricklink.com/PL/2288	\N	\N	\N
2289	B	Duplo Plant Tree Trunk Segment with Branches, Round	167	16	http://www.bricklink.com/PL/2289	\N	\N	\N
2290	B	Duplo Utensil Rubber Rope with Loops on Ends	585	3.5	http://www.bricklink.com/PL/2290	\N	\N	\N
2291	B	Duplo, Brick 2 x 10	417	29	http://www.bricklink.com/PL/2291	2	10	1
2292c01	B	Duplo Wheelbarrow with Yellow Wheels	488	12	http://www.bricklink.com/PL/2292c01	\N	\N	\N
2293	B	Duplo Door 1 x 3 x 4 Gate	167	5	http://www.bricklink.com/PL/2293	1	3	4
2294	B	Duplo Door 1 x 4 x 4 Gate	167	5	http://www.bricklink.com/PL/2294	1	4	4
2295	B	Duplo Baseplate Raised 24 x 24 Four Level with Lake (Zoo Sets)	167	320	http://www.bricklink.com/PL/2295	24	24	3
2296pb01	B	Duplo Baseplate 16 x 24 with Pond Pattern	167	192	http://www.bricklink.com/PL/2296pb01	16	24	\N
2299c01	B	Duplo Dog Scotty on Green Base	420	15.5	http://www.bricklink.com/PL/2299c01	\N	\N	\N
2300	B	Duplo, Brick 2 x 6	417	18	http://www.bricklink.com/PL/2300	2	6	1
2302	B	Duplo, Brick 2 x 3 with Curved Top	417	8.5	http://www.bricklink.com/PL/2302	2	3	1
2312c01	B	Duplo Car Base 2 x 6 with Yellow Wheels and Open Hitch End	488	32	http://www.bricklink.com/PL/2312c01	\N	\N	\N
2312c02	B	Duplo Car Base 2 x 6 with Red Wheels and Open Hitch End	488	32	http://www.bricklink.com/PL/2312c02	\N	\N	\N
2312c03	B	Duplo Car Base 2 x 6 with Black Wheels and Open Hitch End	488	31.37	http://www.bricklink.com/PL/2312c03	\N	\N	\N
2334c01pb01	B	Duplo Panda Cub on Green Base, Eyes looking Left	420	16	http://www.bricklink.com/PL/2334c01pb01	3	2	2
2334c02pb01	B	Duplo Polar Bear Cub on Blue Base, Round Eyes	420	19	http://www.bricklink.com/PL/2334c02pb01	\N	\N	\N
2334c02pb03	B	Duplo Polar Bear Cub on Blue Base, Squared Eyes	420	18.5	http://www.bricklink.com/PL/2334c02pb03	2	2	3
2334c03pb01	B	Duplo Lion Cub on Base	420	10	http://www.bricklink.com/PL/2334c03pb01	\N	\N	\N
2334c03pb03	B	Duplo Tiger Cub on Green Base	420	8	http://www.bricklink.com/PL/2334c03pb03	\N	\N	\N
2335	B	Flag 2 x 2 Square	76	0.5	http://www.bricklink.com/PL/2335	2	2	\N
